rank,username,attempts,pct_of_total
693,AJF,4,0.0004
694,AJG,4,0.0004
695,AJH,4,0.0004
696,AJI,4,0.0004
697,AJJ,4,0.0004
698,AJK,4,0.0004
699,AJL,4,0.0004
700,AJM,4,0.0004
701,AJN,4,0.0004
702,AJO,4,0.0004
703,AJP,4,0.0004
704,AJQ,4,0.0004
705,AJR,4,0.0004
706,AJS,4,0.0004
707,AJT,4,0.0004
708,AJU,4,0.0004
709,AJV,4,0.0004
710,AJW,4,0.0004
711,AJX,4,0.0004
712,AJY,4,0.0004
713,AJZ,4,0.0004
714,AK,4,0.0004
715,AKA,4,0.0004
716,AKB,4,0.0004
717,AKC,4,0.0004
718,AKD,4,0.0004
719,AKE,4,0.0004
720,AKF,4,0.0004
721,AKG,4,0.0004
722,AKH,4,0.0004
723,AKI,4,0.0004
724,AKJ,4,0.0004
725,AKK,4,0.0004
726,AKL,4,0.0004
727,AKM,4,0.0004
728,AKN,4,0.0004
729,AKO,4,0.0004
730,AKP,4,0.0004
731,AKQ,4,0.0004
732,AKR,4,0.0004
733,AKS,4,0.0004
734,AKT,4,0.0004
735,AKU,4,0.0004
736,AKV,4,0.0004
737,AKW,4,0.0004
738,AKX,4,0.0004
739,AKY,4,0.0004
740,AKZ,4,0.0004
741,AL,4,0.0004
742,ALA,4,0.0004
743,ALB,4,0.0004
744,ALC,4,0.0004
745,ALD,4,0.0004
746,ALE,4,0.0004
747,ALF,4,0.0004
748,ALG,4,0.0004
749,ALH,4,0.0004
750,ALI,4,0.0004
751,ALJ,4,0.0004
752,ALK,4,0.0004
753,ALL,4,0.0004
754,ALM,4,0.0004
755,ALN,4,0.0004
756,ALO,4,0.0004
757,ALP,4,0.0004
758,ALQ,4,0.0004
759,ALR,4,0.0004
760,ALS,4,0.0004
761,ALT,4,0.0004
762,ALU,4,0.0004
763,ALV,4,0.0004
764,ALW,4,0.0004
765,ALX,4,0.0004
766,ALY,4,0.0004
767,ALZ,4,0.0004
768,AM,4,0.0004
769,AMA,4,0.0004
770,AMB,4,0.0004
771,AMC,4,0.0004
772,AMD,4,0.0004
773,AME,4,0.0004
774,AMF,4,0.0004
775,AMG,4,0.0004
776,AMH,4,0.0004
777,AMI,4,0.0004
778,AMJ,4,0.0004
779,AMK,4,0.0004
780,AML,4,0.0004
781,AMM,4,0.0004
782,AMN,4,0.0004
783,AMO,4,0.0004
784,AMP,4,0.0004
785,AMQ,4,0.0004
786,AMR,4,0.0004
787,AMS,4,0.0004
788,AMT,4,0.0004
789,AMU,4,0.0004
790,AMV,4,0.0004
791,AMW,4,0.0004
792,AMX,4,0.0004
793,AMZ,4,0.0004
794,AN,4,0.0004
